name,description,price,quantity
Smartphone,High-end mobile device,999.99,50
Laptop,Portable computer,1299.99,30
Tablet,Touchscreen device,499.99,40
Smartwatch,Fitness tracker,199.99,60
Camera,Professional DSLR,1399.99,15
Headphones,Noise cancelling,299.99,70
Video Game Console,Home entertainment,399.99,55
E-reader,For reading books,129.99,45
Drone,For aerial photography,899.99,20
Projector,Home cinema,599.99,25
VR Headset,Virtual reality,299.99,30
External Hard Drive,Storage device,99.99,65
Portable Speaker,Bluetooth speaker,149.99,80
Microwave,For quick meals,199.99,25
Refrigerator,Keeps food fresh,999.99,10
Fitness Tracker,Health monitor,59.99,70
Electric Scooter,Urban travel,299.99,35
Air Purifier,Improves air quality,229.99,40
4K Television,Ultra HD TV,799.99,25
Robot Vacuum,For cleaning floors,499.99,30
